NO_OF_FRAMES	6000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-27, 09:59:13
DATA_INCLUDED	Velocity
DATA_TYPES	Mass_vel_X	Mass_vel_Y	Mass_vel_Z

Mass_vel_X	Mass_vel_Y	Mass_vel_Z	
12.766	-7.356	226.305
20.285	-11.871	258.935
19.955	-12.848	300.362
11.009	-9.938	349.116
10.373	-10.730	388.691
13.228	-10.076	421.349
13.736	-11.928	458.522
8.029	-13.068	500.557
1.247	-10.554	532.535
2.118	-8.116	557.352
10.060	-10.225	581.170
4.066	-12.530	605.763
1.988	-9.701	627.554
7.366	-10.282	640.792
0.252	-7.433	652.612
6.224	-6.924	662.461
8.544	-11.767	671.718
-5.612	-7.291	677.659
-0.516	-8.370	679.388
2.347	-8.063	678.865
-4.306	-5.911	673.360
-0.176	-7.839	663.181
-3.568	-8.605	650.323
-8.488	-8.189	632.921
-3.417	-3.764	613.588
-2.317	-5.205	591.566
-9.680	-6.534	567.327
-12.835	-4.616	539.702
-8.653	-5.633	508.033
-6.624	-5.980	478.411
-11.724	-1.365	444.352
-10.003	1.048	407.851
-10.925	-0.165	370.540
-16.444	-3.027	328.834
-14.799	-2.467	285.042
-15.449	0.898	242.408
-17.548	0.808	196.666
-12.249	0.243	148.832
-10.012	-3.232	101.499
-15.955	-2.008	53.511
-15.518	1.034	6.686
-15.877	1.056	-37.905
-15.927	1.622	-85.031
-15.327	1.240	-132.221
-24.767	2.366	-175.496
-22.502	4.176	-221.442
-16.199	0.479	-267.800
-17.806	0.836	-311.292
-13.643	-3.824	-352.698
-17.220	-5.477	-394.490
-18.740	2.014	-432.479
-15.106	-0.103	-467.535
-21.333	2.290	-500.189
-17.976	2.186	-530.771
-17.513	4.257	-558.549
-22.781	6.883	-580.505
-17.552	3.432	-605.997
-10.525	4.578	-628.375
-13.199	6.870	-641.433
-18.519	6.080	-654.387
-18.889	5.662	-669.008
-16.800	6.319	-675.670
-16.548	7.498	-677.711
-13.606	9.777	-681.533
-12.736	8.634	-675.301
-16.269	7.795	-667.796
-11.985	10.288	-662.393
-5.643	8.537	-647.996
-11.057	9.821	-626.320
-12.146	12.130	-612.308
-4.694	9.581	-593.491
-7.904	10.125	-565.202
-8.322	9.027	-536.383
-7.525	9.069	-505.432
-6.460	9.475	-478.624
-4.400	8.363	-442.561
-1.531	8.294	-404.319
1.479	8.449	-368.288
-1.172	9.296	-322.129
-2.916	11.035	-277.215
1.254	7.831	-237.546
3.527	8.571	-193.179
6.344	10.627	-148.146
7.777	7.413	-102.191
2.697	9.168	-50.891
6.493	9.437	-4.542
9.245	9.538	40.638
8.856	8.021	86.960
11.913	6.718	133.224
9.891	7.797	185.326
10.518	7.852	229.780
11.604	7.749	273.219
15.059	5.529	315.588
22.092	2.176	349.574
13.124	5.495	395.042
13.865	6.154	431.356
21.906	2.333	460.192
15.621	3.409	502.028
21.744	0.864	529.636
22.976	2.327	553.366
13.473	3.211	588.290
17.879	0.340	608.898
19.398	0.610	624.341
19.347	0.224	645.963
21.743	0.366	659.893
21.324	-0.094	665.514
20.577	-0.629	674.037
20.378	-1.340	678.762
20.820	-1.460	675.308
19.624	0.149	673.107
22.376	-2.655	666.852
23.357	-5.496	656.048
20.641	-4.543	644.564
20.833	-3.840	631.561
17.155	-3.763	611.600
18.100	-4.507	589.058
22.027	-6.852	564.360
21.202	-8.936	535.654
20.393	-7.048	504.536
15.931	-5.240	471.472
17.892	-7.436	437.535
15.329	-8.200	399.818
12.530	-8.210	359.294
13.375	-7.334	319.160
12.211	-5.155	276.959
16.691	-6.020	233.706
12.813	-8.231	191.268
12.216	-8.874	145.149
13.196	-8.657	94.206
10.290	-9.144	48.547
12.276	-11.189	2.857
8.931	-10.848	-46.876
6.279	-8.088	-95.371
7.127	-9.816	-142.907
7.171	-11.238	-186.276
9.685	-12.276	-232.377
6.798	-12.140	-275.857
2.648	-8.972	-315.418
5.143	-9.421	-358.367
4.306	-11.271	-398.212
2.425	-11.548	-435.145
2.553	-12.621	-470.715
-2.401	-10.651	-503.269
-2.264	-9.693	-535.279
-1.009	-10.489	-563.646
-3.849	-9.986	-587.901
-4.438	-9.613	-609.514
-7.104	-10.534	-629.115
-9.129	-10.389	-645.247
-6.824	-7.776	-657.262
-6.941	-9.684	-664.253
-10.408	-9.834	-671.205
-12.478	-7.173	-676.267
-13.525	-4.919	-675.749
-13.944	-6.109	-674.242
-14.005	-7.543	-668.051
-15.801	-5.878	-656.494
-14.980	-4.943	-645.268
-13.603	-6.181	-630.157
-16.728	-4.230	-607.752
-17.239	-3.093	-583.474
-14.326	-5.405	-560.144
-19.679	-2.305	-531.081
-21.573	-1.570	-499.417
-17.926	-3.844	-470.537
-17.662	-3.690	-436.008
-18.902	-0.401	-397.897
-20.867	0.588	-358.016
-22.081	-0.076	-318.636
-24.846	0.356	-275.215
-19.277	-1.304	-230.059
-19.172	1.056	-185.218
-27.080	5.003	-137.107
-26.659	3.790	-91.028
-23.261	4.629	-41.308
-19.052	4.942	4.145
-19.349	4.087	49.671
-17.710	3.664	96.604
-17.233	3.807	140.231
-25.120	7.610	188.271
-22.502	7.808	232.873
-20.428	7.145	278.411
-20.100	6.005	320.296
-13.727	4.231	355.106
-15.541	6.488	401.299
-16.560	7.077	439.654
-16.152	7.551	468.680
-14.908	9.544	505.672
-13.936	8.512	534.173
-16.024	7.790	559.874
-14.658	10.446	591.212
-12.807	11.073	609.693
-5.152	6.709	624.126
-10.149	9.821	643.820
-14.754	13.077	656.550
-6.512	8.821	669.196
-6.298	10.517	676.695
-2.623	12.002	675.038
-5.361	12.762	678.381
-4.408	9.791	675.904
-4.856	10.052	665.466
-0.609	10.006	653.850
7.225	6.231	641.449
1.089	8.998	627.348
-4.168	10.909	605.882
-1.003	8.114	582.359
8.369	6.598	558.437
-3.467	10.723	532.201
2.922	6.932	499.994
16.275	3.634	469.565
10.583	5.901	435.318
5.449	8.589	395.297
-1.762	11.497	356.728
-0.478	10.887	313.048
8.814	6.985	269.400
14.262	5.688	227.018
13.551	7.087	181.948
6.216	9.518	135.795
5.132	9.756	87.889
7.247	8.316	41.956
24.651	0.513	-4.447
19.322	-0.550	-52.423
-3.229	7.570	-96.551
9.795	4.621	-144.136
15.970	-0.331	-194.848
20.122	-2.435	-239.670
20.544	-1.262	-281.956
17.389	0.823	-325.317
15.106	2.005	-366.824
12.969	-0.168	-403.690
14.882	-1.772	-440.222
11.445	1.690	-475.287
14.763	-0.354	-505.634
21.044	-6.038	-535.709
9.708	-2.080	-562.922
9.760	0.091	-586.980
20.060	-4.369	-611.759
12.798	-3.816	-632.199
12.353	-2.256	-646.217
24.279	-6.717	-657.754
15.687	-4.538	-667.955
13.197	-4.325	-675.398
20.361	-7.409	-674.957
10.949	-3.839	-672.755
12.030	-7.354	-672.913
17.170	-7.835	-665.381
10.684	-4.065	-651.777
10.170	-6.623	-640.123
