NO_OF_FRAMES	6000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-26, 17:03:43
DATA_INCLUDED	Position
DATA_TYPES	Origin_origin_X	Origin_origin_Y	Origin_origin_Z

Origin_origin_X	Origin_origin_Y	Origin_origin_Z	
30.472	4.362	665.258
30.477	4.345	665.267
30.498	4.326	665.276
30.514	4.296	665.274
30.542	4.273	665.277
30.555	4.239	665.301
30.577	4.205	665.293
30.594	4.185	665.296
30.625	4.163	665.293
30.633	4.164	665.306
30.667	4.125	665.311
30.694	4.102	665.302
30.724	4.079	665.298
30.766	4.044	665.284
30.796	4.020	665.301
30.820	4.013	665.295
30.854	4.002	665.290
30.871	3.982	665.293
30.911	3.946	665.286
30.920	3.932	665.281
30.956	3.931	665.281
30.973	3.911	665.284
31.008	3.901	665.279
31.045	3.891	665.268
31.081	3.871	665.265
31.117	3.859	665.273
31.145	3.835	665.276
31.173	3.851	665.261
31.223	3.839	665.244
31.249	3.834	665.232
31.289	3.845	665.230
31.326	3.807	665.229
31.352	3.799	665.237
31.379	3.793	665.238
31.409	3.810	665.216
31.435	3.814	665.216
31.463	3.818	665.209
31.479	3.800	665.199
31.510	3.816	665.190
31.537	3.827	665.189
31.563	3.831	665.188
31.597	3.848	665.173
31.596	3.857	665.185
31.631	3.875	665.169
31.654	3.868	665.164
31.666	3.892	665.167
31.663	3.917	665.183
31.676	3.945	665.147
31.691	3.952	665.146
31.692	3.989	665.160
31.701	3.986	665.148
31.713	4.009	665.151
31.719	4.022	665.143
31.734	4.058	665.131
31.742	4.081	665.128
31.728	4.102	665.132
31.738	4.124	665.142
31.740	4.136	665.127
31.738	4.155	665.112
31.714	4.181	665.120
31.713	4.227	665.108
31.697	4.257	665.110
31.695	4.273	665.114
31.676	4.294	665.098
31.678	4.315	665.095
31.666	4.347	665.084
31.648	4.382	665.099
31.629	4.403	665.083
31.609	4.432	665.079
31.576	4.442	665.097
31.556	4.478	665.098
31.529	4.484	665.097
31.505	4.519	665.092
31.490	4.562	665.067
31.478	4.581	665.083
31.453	4.589	665.076
31.433	4.607	665.079
