NO_OF_FRAMES	12000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-26, 14:41:23
DATA_INCLUDED	Velocity
DATA_TYPES	Mass_vel_X	Mass_vel_Y	Mass_vel_Z

Mass_vel_X	Mass_vel_Y	Mass_vel_Z	
-14.021	-98.182	82.819
-4.430	-83.982	151.289
0.374	-58.722	225.101
7.775	-34.609	297.163
9.983	-12.714	367.339
11.621	12.230	431.197
15.527	20.916	492.200
-0.207	22.385	551.455
-19.466	20.011	599.676
-20.276	-4.448	649.734
-29.541	-21.380	696.576
-37.494	-26.908	732.564
-30.437	-48.290	766.664
-29.411	-62.640	794.047
-26.214	-73.050	816.768
-21.655	-93.653	841.134
-18.231	-90.546	861.795
-4.223	-87.691	880.546
9.596	-86.629	892.335
26.145	-73.983	903.832
43.367	-65.903	911.538
56.222	-57.511	911.586
58.951	-45.995	919.464
55.016	-25.703	924.547
58.879	-7.817	918.636
66.429	4.469	909.167
64.577	20.648	893.244
52.815	27.535	873.771
44.796	29.216	846.140
39.890	25.894	811.559
33.957	23.460	774.814
28.852	19.339	729.506
21.112	10.077	682.365
11.569	-3.916	632.525
8.590	-18.263	577.798
4.199	-27.356	518.303
0.592	-45.141	455.248
6.895	-49.254	385.437
9.130	-47.312	312.109
4.782	-57.896	239.646
8.103	-57.502	170.536
12.696	-44.133	98.189
18.436	-39.753	24.402
21.491	-39.763	-43.429
19.869	-40.263	-118.155
21.619	-46.352	-196.759
28.410	-41.643	-269.205
37.802	-34.883	-334.338
41.141	-34.354	-395.233
49.536	-18.145	-457.226
56.060	-3.039	-516.621
61.626	4.283	-566.194
71.672	22.182	-613.246
78.732	39.542	-657.835
84.487	55.803	-694.944
81.028	76.828	-726.431
82.390	91.981	-753.594
84.455	105.535	-781.299
76.948	112.129	-806.875
65.659	101.327	-829.646
51.338	80.445	-856.442
32.850	48.637	-885.756
11.386	12.844	-913.040
-4.188	-12.763	-938.304
-18.510	-43.144	-952.236
-27.131	-61.302	-954.256
-31.172	-59.133	-950.804
-35.105	-57.338	-939.694
-33.271	-50.546	-925.548
-26.130	-35.744	-897.415
-11.694	-10.456	-866.455
-2.968	12.947	-836.108
10.044	40.821	-794.959
23.370	68.083	-751.859
30.680	86.547	-708.781
37.389	98.657	-662.672
34.583	103.514	-615.815
32.942	106.635	-566.722
31.329	107.803	-509.924
25.401	110.974	-455.567
16.744	101.663	-400.999
4.491	80.057	-347.126
-8.884	59.521	-298.763
-26.152	30.964	-252.146
-41.994	-4.190	-198.048
-55.580	-27.254	-142.573
-63.706	-38.417	-86.992
-63.131	-39.305	-19.635
-60.209	-37.963	53.033
-59.329	-23.090	121.867
-54.750	10.688	192.688
-39.658	48.375	268.198
-26.886	83.292	334.727
-13.490	106.215	403.724
-8.695	110.107	473.669
-7.590	104.164	528.723
2.086	100.839	578.219
3.602	96.738	622.228
0.117	80.658	661.528
-12.000	54.432	700.784
-26.235	31.075	733.788
-39.275	10.838	763.590
-53.413	-6.345	790.409
-64.132	-27.508	812.565
-76.141	-39.977	835.651
-81.113	-43.146	859.435
-83.454	-41.738	877.072
-85.061	-33.538	893.860
-81.633	-26.191	910.645
-69.055	-17.947	920.397
-58.093	-6.428	923.591
-52.142	10.704	922.244
-38.356	25.567	922.152
-28.230	38.645	913.751
-20.614	52.722	900.974
-7.353	69.174	885.202
3.259	78.859	861.837
8.000	71.497	837.757
11.913	63.789	804.765
15.698	57.637	757.323
17.751	41.376	707.046
12.163	27.918	653.978
1.727	8.676	596.291
-1.976	-16.322	531.829
-14.556	-38.652	461.841
-25.601	-63.373	392.435
-31.247	-76.015	322.773
-35.833	-86.385	253.345
-36.157	-88.153	188.023
